policy  4KAlg   4KBM    4KCF    16KAlg  16KBM   16KCF   64KAlg  64KBM   64KCF
LRU     2.4791  2.4664  2.9944  2.0371  2.0695  2.3968  1.5622  1.5944  1.7377  
W-tLFU  2.4038  2.3124  2.9080  1.9076  1.9035  2.2615  1.5262  1.5279  1.7071  
FRD     2.3698  2.3545  2.8654  1.9059  1.9583  2.2519  1.5046  1.5398  1.6648  
Hyper   2.4269  2.3998  2.9620  1.9992  2.0298  2.3839  1.5428  1.5768  1.7410  
policy  4KAlg   4KBM    4KCF    16KAlg  16KBM   16KCF   64KAlg  64KBM   64KCF
LRU     2.4791  2.4664  2.9944  2.0371  2.0695  2.3968  1.5622  1.5944  1.7377  
W-tLFU  2.4038  2.3124  2.9080  1.9076  1.9035  2.2615  1.5262  1.5279  1.7071  
FRD     2.3698  2.3545  2.8654  1.9059  1.9583  2.2519  1.5046  1.5398  1.6648  
Hyper   2.4269  2.3998  2.9620  1.9992  2.0298  2.3839  1.5428  1.5768  1.7410  
