policy  4KAlg   4KBM    4KCF    16KAlg  16KBM   16KCF   64KAlg  64KBM   64KCF
LRU     1.9117  1.9114  2.3404  1.8061  1.8039  2.1802  1.7047  1.6982  2.0095  
W-tLFU  1.8202  1.7846  2.1754  1.7435  1.7098  2.0620  1.6465  1.6186  1.9189  
FRD     1.8047  1.8034  2.1988  1.7279  1.7254  2.0752  1.6406  1.6345  1.9219  
Hyper   1.8157  1.8146  2.2150  1.7340  1.7316  2.0845  1.6504  1.6442  1.9369  
policy  4KAlg   4KBM    4KCF    16KAlg  16KBM   16KCF   64KAlg  64KBM   64KCF
LRU     1.9117  1.9114  2.3404  1.8061  1.8039  2.1802  1.7047  1.6982  2.0095  
W-tLFU  1.8202  1.7846  2.1754  1.7435  1.7098  2.0620  1.6465  1.6186  1.9189  
FRD     1.8047  1.8034  2.1988  1.7279  1.7254  2.0752  1.6406  1.6345  1.9219  
Hyper   1.8157  1.8146  2.2150  1.7340  1.7316  2.0845  1.6504  1.6442  1.9369  
