policy  4KAlg   4KBM    4KCF    16KAlg  16KBM   16KCF   64KAlg  64KBM   64KCF
LRU     2.1669  2.1812  2.5945  1.8048  1.8124  2.1244  1.4739  1.4582  1.6615  
W-tLFU  2.0575  2.0703  2.4607  1.7511  1.7520  2.0518  1.5241  1.5062  1.7260  
FRD     2.0204  2.0184  2.4109  1.7237  1.7159  2.0116  1.4480  1.4350  1.6270  
Hyper   2.0925  2.1050  2.5123  1.7898  1.7918  2.1094  1.5000  1.4854  1.7017  
policy  4KAlg   4KBM    4KCF    16KAlg  16KBM   16KCF   64KAlg  64KBM   64KCF
LRU     2.1669  2.1812  2.5945  1.8048  1.8124  2.1244  1.4739  1.4582  1.6615  
W-tLFU  2.0575  2.0703  2.4607  1.7511  1.7520  2.0518  1.5241  1.5062  1.7260  
FRD     2.0204  2.0184  2.4109  1.7237  1.7159  2.0116  1.4480  1.4350  1.6270  
Hyper   2.0925  2.1050  2.5123  1.7898  1.7918  2.1094  1.5000  1.4854  1.7017  
